DSO Name,Maßnahmen ID,Grid Type,Cities,Project Type,State,Capacity Change,Date of completion,Geo Codes
Avacon,318,Line,"Helmstedt, Königslutter, Hordorf, Moritzburg",ENB (Ersatzneubau),Planned,739,Not Specified (part of plan up to 2045),"{""Helmstedt, Germany"":{""lat"":52.2272927,""lng"":11.003723,""address"":{""formatted"":""38350 Helmstedt, Germany""}},""Königslutter, Germany"":{""lat"":52.2245661,""lng"":10.7958402,""address"":{""formatted"":""38154 Königslutter, Germany""}},""Hordorf, Germany"":{""lat"":52.2925341,""lng"":10.655518,""address"":{""formatted"":""38162 Cremlingen-Hordorf, Germany""}}"
Avacon,319,Line,Helmstedt,80°C-Trassierung + FLM (Freileitungsmonitoring),Planned,,Not Specified (part of plan up to 2045),"{""Helmstedt, Germany"":{""lat"":52.2272927,""lng"":11.003723,""address"":{""formatted"":""38350 Helmstedt, Germany""}}}"
Avacon,321,UW,Heerte,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Heerte, Germany"":{""lat"":52.1253108,""lng"":10.3878875,""address"":{""formatted"":""38229 Salzgitter-Heerte, Germany""}}}"
Avacon,322,Line,"Heerte, Helmstedt, BKB-Ohlendorf",NB (Neubau),Planned,259,Not Specified (part of plan up to 2045),"{""Heerte, Germany"":{""lat"":52.1253108,""lng"":10.3878875,""address"":{""formatted"":""38229 Salzgitter-Heerte, Germany""}},""Helmstedt, Germany"":{""lat"":52.2272927,""lng"":11.003723,""address"":{""formatted"":""38350 Helmstedt, Germany""}},""BKB-Ohlendorf, Germany"":{""lat"":53.342119,""lng"":10.0487481,""address"":{""formatted"":""21220 Seevetal-Ohlendorf, Germany""}}}"
Avacon,323,"UW, Line",Fümmelse,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Fümmelse, Germany"":{""lat"":52.162911,""lng"":10.4849347,""address"":{""formatted"":""38304 Wolfenbüttel-Fümmelse, Germany""}}}"
Avacon,324,Line,"Salzgitter, Hallendorf, Gleidingen, Bleckenstedt Süd",NB (Neubau),Planned,519,Not Specified (part of plan up to 2045),"{""Salzgitter, Germany"":{""lat"":52.13786589999999,""lng"":10.3899126,""address"":{""formatted"":""38 Salzgitter, Germany""}},""Hallendorf, Germany"":{""lat"":52.1544232,""lng"":10.3770934,""address"":{""formatted"":""38229 Salzgitter-Hallendorf, Germany""}},""Gleidingen, Germany"":{""lat"":52.2722811,""lng"":9.8432458,""address"":{""formatted"":""30880 Laatzen-Gleidingen, Germany""}},""Bleckenstedt Süd, Germany"":{""lat"":52.1773578,""lng"":10.4057793,""address"":{""formatted"":""38239 Salzgitter-Bleckenstedt, Germany""}}}"
Avacon,325,UW,Salzgitter,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Salzgitter, Germany"":{""lat"":52.13786589999999,""lng"":10.3899126,""address"":{""formatted"":""38 Salzgitter, Germany""}}}"
Avacon,327,Line,"Kunrau, Nettgau",ENB (Ersatzneubau),Planned,400,Not Specified (part of plan up to 2045),"{""Kunrau, Germany"":{""lat"":52.5658808,""lng"":11.0204064,""address"":{""formatted"":""38486 Klötze-Kunrau, Germany""}},""Nettgau, Germany"":{""lat"":52.64253069999999,""lng"":10.9049234,""address"":{""formatted"":""38489 Nettgau, Germany""}}}"
Avacon,329,Line,"Borgholz, Würgassen",FLM (Freileitungsmonitoring),Planned,75,Not Specified (part of plan up to 2045),"{""Borgholz, Germany"":{""lat"":51.623369,""lng"":9.258414,""address"":{""formatted"":""17 Bergholz, Germany""}},""Würgassen, Germany"":{""lat"":51.6434128,""lng"":9.4060013,""address"":{""formatted"":""37688 Beverungen-Würgassen, Germany""}}}"
Avacon,330,Line,"Borken, Felsberg",FLM (Freileitungsmonitoring),Planned,63,Not Specified (part of plan up to 2045),"{""Borken, Germany"":{""lat"":51.047173,""lng"":9.278,""address"":{""formatted"":""46325 Borken, Germany""}},""Felsberg, Germany"":{""lat"":51.1363534,""lng"":9.419181799999999,""address"":{""formatted"":""34587 Felsberg, Germany""}}}"
Avacon,331,Line,"Asslar, Gießen/Nord",FLM (Freileitungsmonitoring),Planned,75,Not Specified (part of plan up to 2045),"{""Asslar, Germany"":{""lat"":50.5904417,""lng"":8.4632547,""address"":{""formatted"":""35614 Aßlar, Germany""}},""Gießen/Nord, Germany"":{""lat"":50.60504359999999,""lng"":8.7088988,""address"":{""formatted"":""Kirchstraße 19, 35396 Gießen, Germany""}}}"
Avacon,332,Line,"Dörnigheim, Niedermittlau",80°C-Trassierung,Planned,25,Not Specified (part of plan up to 2045),"{""Dörnigheim, Germany"":{""lat"":50.13837299999999,""lng"":8.838805899999999,""address"":{""formatted"":""63477 Maintal-Dörnigheim, Germany""}},""Niedermittlau, Germany"":{""lat"":50.169357,""lng"":9.123941,""address"":{""formatted"":""63594 Hasselroth-Niedermittlau, Germany""}}}"
Avacon,333,Line,"Dorheim, Obererlenbach",80°C-Trassierung,Planned,25,Not Specified (part of plan up to 2045),"{""Dorheim, Germany"":{""lat"":50.3505082,""lng"":8.7973613,""address"":{""formatted"":""61169 Friedberg (Hessen)-Dorheim, Germany""}},""Obererlenbach, Germany"":{""lat"":50.2259547,""lng"":8.6787291,""address"":{""formatted"":""61352 Bad Homburg-Ober-Erlenbach, Germany""}}}"
Avacon,334,Line,"Friedensdorf, Dillenburg",ENB (Ersatzneubau),Planned,627,Not Specified (part of plan up to 2045),"{""Friedensdorf, Germany"":{""lat"":50.8502702,""lng"":8.5636646,""address"":{""formatted"":""35232 Dautphetal-Friedensdorf, Germany""}},""Dillenburg, Germany"":{""lat"":50.7452841,""lng"":8.2807631,""address"":{""formatted"":""35 Dillenburg, Germany""}}}"
Avacon,335,Line,"Asslar, Merkenbach",ENB (Ersatzneubau),Planned,21,Not Specified (part of plan up to 2045),"{""Asslar, Germany"":{""lat"":50.5904417,""lng"":8.4632547,""address"":{""formatted"":""35614 Aßlar, Germany""}},""Merkenbach, Germany"":{""lat"":50.655912,""lng"":8.2955028,""address"":{""formatted"":""35745 Herborn-Merkenbach, Germany""}}}"
Avacon,336,UW,Elm,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Elm, Germany"":{""lat"":50.3603612,""lng"":9.558419299999999,""address"":{""formatted"":""36381 Schlüchtern-Elm, Germany""}}}"
Avacon,337,UW,Wächtersbach,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Wächtersbach, Germany"":{""lat"":50.2550222,""lng"":9.2918865,""address"":{""formatted"":""63607 Wächtersbach, Germany""}}}"
Avacon,338,UW,Gießen/Nord,UW (Umspannwerk),Planned,0,Not Specified (part of plan up to 2045),"{""Gießen/Nord, Germany"":{""lat"":50.60504359999999,""lng"":8.7088988,""address"":{""formatted"":""Kirchstraße 19, 35396 Gießen, Germany""}}}"
Avacon,348,UW,Sengwaden,NB (Neubau),Planned,380,Not Specified (part of plan up to 2045),"{""Sengwaden, Germany"":{""lat"":53.5926196,""lng"":8.048055399999999,""address"":{""formatted"":""26388 Wilhelmshaven-Sengwarden, Germany""}}}"
Avacon,349,UW,Burhafe Süd,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Burhafe Süd, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}}}"
Avacon,350,UW,Hohenkirchen Nord,NB (Neubau),Planned,0,Not Specified (part of plan up to 2045),"{""Hohenkirchen Nord, Germany"":{""lat"":53.663293,""lng"":7.918043,""address"":{""formatted"":""23 Hohenkirchen, Germany""}}}"
Avacon,351,Line,"Burhafe Süd, Roffhausen",ENB (Ersatzneubau),Planned,233,Not Specified (part of plan up to 2045),"{""Burhafe Süd, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}},""Roffhausen, Germany"":{""lat"":53.5258765,""lng"":8.0283306,""address"":{""formatted"":""26419 Schortens-Roffhausen, Germany""}}}"
Avacon,352,Line,"Halbemond, Burhafe Süd",ENB (Ersatzneubau),Planned,150,Not Specified (part of plan up to 2045),"{""Halbemond, Germany"":{""lat"":53.564334,""lng"":7.299377499999999,""address"":{""formatted"":""26524 Halbemond, Germany""}},""Burhafe Süd, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}}}"
Avacon,353,Line,"Hohenkirchen Nord, Burhafe Süd",ENB (Ersatzneubau),Planned,188,Not Specified (part of plan up to 2045),"{""Hohenkirchen Nord, Germany"":{""lat"":53.663293,""lng"":7.918043,""address"":{""formatted"":""23 Hohenkirchen, Germany""}},""Burhafe Süd, Germany"":{""lat"":53.5980705,""lng"":7.70804,""address"":{""formatted"":""26409 Wittmund-Burhafe, Germany""}}}"
Avacon,354,Line,"Wilhelmshaven2, Hohenkirchen Nord",ENB (Ersatzneubau),Planned,1078,Not Specified (part of plan up to 2045),"{""Wilhelmshaven2, Germany"":{""lat"":53.53234029999999,""lng"":8.1068722,""address"":{""formatted"":""26 Wilhelmshaven, Germany""}},""Hohenkirchen Nord, Germany"":{""lat"":53.663293,""lng"":7.918043,""address"":{""formatted"":""23 Hohenkirchen, Germany""}}}"
Avacon,355,Line,"Hohenkirchen Nord, Carolinensiel, Esens",ENB (Ersatzneubau),Planned,207,Not Specified (part of plan up to 2045),"{""Hohenkirchen Nord, Germany"":{""lat"":53.663293,""lng"":7.918043,""address"":{""formatted"":""23 Hohenkirchen, Germany""}},""Carolinensiel, Germany"":{""lat"":53.6912975,""lng"":7.803832399999999,""address"":{""formatted"":""26409 Wittmund-Carolinensiel, Germany""}},""Esens, Germany"":{""lat"":53.6450283,""lng"":7.614752900000001,""address"":{""formatted"":""26427 Esens, Germany""}}}"
Avacon,356,Line,"Stadorf, Wieren",ENB (Ersatzneubau),Planned,554,Not Specified (part of plan up to 2045),"{""Stadorf, Germany"":{""lat"":52.9919301,""lng"":10.3950159,""address"":{""formatted"":""29593 Schwienau-Stadorf, Germany""}},""Wieren, Germany"":{""lat"":52.8875421,""lng"":10.6566943,""address"":{""formatted"":""29559 Wrestedt-Wieren, Germany""}}}"
Avacon,357,Line,"Bassum, Blockwinkel",ENB (Ersatzneubau),Planned,592,Not Specified (part of plan up to 2045),"{""Bassum, Germany"":{""lat"":52.8494721,""lng"":8.7268872,""address"":{""formatted"":""27211 Bassum, Germany""}},""Blockwinkel, Germany"":{""lat"":52.7600361,""lng"":8.7750916,""address"":{""formatted"":""27251 Scholen-Blockwinkel, Germany""}}}"
Avacon,359,Line,"Fümmelse, Ohlendorf, Schöningen",80°C-Trassierung + FLM (Freileitungsmonitoring),Planned,,Not Specified (part of plan up to 2045),"{""Fümmelse, Germany"":{""lat"":52.162911,""lng"":10.4849347,""address"":{""formatted"":""38304 Wolfenbüttel-Fümmelse, Germany""}},""Ohlendorf, Germany"":{""lat"":52.0626948,""lng"":10.4440174,""address"":{""formatted"":""38259 Salzgitter-Ohlendorf, Germany""}},""Schöningen, Germany"":{""lat"":52.1394882,""lng"":10.9661706,""address"":{""formatted"":""38364 Schöningen, Germany""}}}"
Avacon,360,Line,"Lebenstedt, Haverlahwiese",FLM (Freileitungsmonitoring),Planned,,Not Specified (part of plan up to 2045),"{""Lebenstedt, Germany"":{""lat"":52.1677969,""lng"":10.3228425,""address"":{""formatted"":""38 Lebenstedt, Germany""}},""Haverlahwiese, Germany"":{""lat"":52.0954485,""lng"":10.3373809,""address"":{""formatted"":""38229 Salzgitter-Haverlahwiese, Germany""}}}"
Avacon,363,Line,"Hardegsen, Poehlde",ENB (Ersatzneubau),Planned,585,Not Specified (part of plan up to 2045),"{""Hardegsen, Germany"":{""lat"":51.6480962,""lng"":9.837169200000002,""address"":{""formatted"":""37181 Hardegsen, Germany""}},""Poehlde, Germany"":{""lat"":51.6144782,""lng"":10.3137425,""address"":{""formatted"":""37412 Herzberg am Harz-Pöhlde, Germany""}}}"
Avacon,365,Line,"Eschwege, Waldkappel",FLM (Freileitungsmonitoring),Planned,49,Not Specified (part of plan up to 2045),"{""Eschwege, Germany"":{""lat"":51.1876662,""lng"":10.0397725,""address"":{""formatted"":""37269 Eschwege, Germany""}},""Waldkappel, Germany"":{""lat"":51.1435021,""lng"":9.8742849,""address"":{""formatted"":""37284 Waldkappel, Germany""}}}"
Avacon,366,Line,"Wolfhagen, Borgholz",ENB (Ersatzneubau),Planned,630,Not Specified (part of plan up to 2045),"{""Wolfhagen, Germany"":{""lat"":51.3264673,""lng"":9.1710827,""address"":{""formatted"":""34466 Wolfhagen, Germany""}},""Borgholz, Germany"":{""lat"":51.623369,""lng"":9.258414,""address"":{""formatted"":""17 Bergholz, Germany""}}}"
